Response_ID,Q1_Age_Group,Q2_Gender,Q3_Nationality,Q4_Emirate,Q5_Employment,Q6_Income,Q7_Education,Q8_Household,Q9_Cafe_Frequency,Q10_Avg_Spending_Per_Visit_AED,Q11_Visit_Duration,Q12_Primary_Reason,Q13_Preferred_Time,Q14_Alone_Or_Company,Q15_Reading_Frequency,Q16_Books_Per_Year,Q17_Reading_Format,Q18_Favorite_Genres,Q19_Book_Acquisition,Q20_Book_Spending_Monthly_AED,Q21_Coffee_Preferences,Q22_Reading_Beverage,Q23_Ideal_Ambiance,Q24_Food_Preferences,Q25_Visited_Similar_Concept,Q26_What_Attracts,Q27_Book_Access_Model,Q28_Monthly_book_club_membership,Q28_Author_meet_&_greet_events,Q28_Writing_poetry_workshops,Q28_Children's_storytelling_sessions,Q28_Private_reading_pods_rooms,Q28_Co-working_space_with_books,Q28_Take-home_book_subscription,Q28_Coffee_+_book_pairing_recommendations,Q29_Willing_Pay_Coffee_AED,Q30_Total_Spending_Per_Visit_AED,Q31_Consider_Membership,Q32_Membership_Fee_AED,Q33_Premium_Exclusive,Q34_Quality_of_coffee,Q34_Book_collection_size_&_quality,Q34_Ambiance_&_comfort,Q34_Location_convenience,Q34_Price_value,Q35_Free_Time_Activities,Q36_Personality,Q37_Environmental_Consciousness,Q38_Technology_Adoption,Q39_Brand_Loyalty,Q40_Interest_Rating_1to10,Q41_Visit_Likelihood_TARGET,Q42_Expected_Visit_Frequency,Q43_Recommend_To_Others,Q44_Preferred_Location,Q45_Concerns,Q46_Additional_Services_Feedback,Q47_Other_Comments
53,25-34,Female,South Asian,Dubai,Self-employed/Business owner,"5,000 - 10,000",Other,"Married/Partner, no children",2-3 times per week,26,2-3 hours,Social meetings with friends/colleagues,Evening (6-9 PM)|Night (9 PM onwards),Both equally,Occasional reader (1-2 times per week),8,Magazines|Online articles/blogs|Physical books (paperback/hardcover),Non-Fiction - Business/Self-Help|Non-Fiction - History/Politics|Religious/Spiritual,"Borrow from friends/family|E-book subscriptions (Kindle Unlimited, etc.)",17,"Arabic/Turkish Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot coffee|Iced coffee,Fireplace or warm elements|Minimalist decor|Natural lighting|Outdoor seating option|Quiet/Silent zones,"International cuisine options|Light snacks (cookies, biscuits)|Traditional Arabic sweets","Yes, outside UAE",Author events/book signings|Community of like-minded people,Membership for book borrowing (take home),3,3,4,2,2,3,4,1,24,39,"Yes, depending on price",150,0 (Not interested),3,3,1,3,4,Learning new skills/courses|Shopping|Social media browsing,Very extroverted (thrive in social settings),Somewhat important,Technology resistant,Opportunistic (based on deals/convenience),10,Definitely will visit,Once a month,Definitely yes,Mixed-use developments,Coffee quality concerns|May be too crowded/noisy,N/A,N/A
54,55+,Male,Western Expat,Sharjah,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",Daily,45,Less than 30 minutes (quick coffee),Location convenience|Work/study in a different environment,Afternoon (3-6 PM)|Evening (6-9 PM)|Weekends only,Always with company,Monthly reader (few times a month),8,Online articles/blogs|Physical books (paperback/hardcover),Fiction - Literary|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,"Free online resources|Online purchase (Amazon, Noon, etc.)",74,"Arabic/Turkish Coffee|Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Non-caffeinated beverages only",Hot chocolate,Fireplace or warm elements|Greenery/plants|Quiet/Silent zones|Soft background music|Vintage/classic decor,"Desserts (cakes, brownies)|Salads|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested",Ability to borrow books|Book exchange program|Community of like-minded people|Work/study-friendly environment,Membership for book borrowing (take home),1,3,2,5,1,1,3,4,41,77,Probably not,0,21-35 AED,4,1,2,4,2,Social media browsing|Traveling|Working on personal projects,Very introverted (prefer solitude),Important (consider when possible),Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),9,Definitely will visit,2-3 times per month,Definitely yes,Shopping malls,May be too crowded/noisy|No major concerns,N/A,N/A
55,35-44,Female,East Asian,Sharjah,Self-employed/Business owner,"20,001 - 35,000",Bachelor's Degree,"Married/Partner, with children (under 12)",Once a week,36,30 minutes - 1 hour,Ambiance and interior design,Afternoon (3-6 PM)|Mid-morning (9 AM-12 PM),Mostly with company,Daily reader (read every day),57,Audiobooks,Non-Fiction - Biography/Memoir|Non-Fiction - Business/Self-Help|Poetry,"Online purchase (Amazon, Noon, etc.)",141,"Espresso-based (Cappuccino, Latte, Americano)|Fresh Juices/Smoothies|Hot Chocolate",Hot chocolate,"Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Modern/contemporary decor|Natural lighting|Outdoor seating option|Quiet/Silent zones","Pastries (croissants, muffins)|Sandwiches/Wraps|Traditional Arabic sweets","Yes, outside UAE",Kids' reading corner|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment,Combination of above options,4,3,4,5,4,3,3,2,35,77,"Yes, depending on price",261,21-35 AED,5,5,2,1,1,Dining out/cafe hopping|Outdoor activities/sports|Watching movies/series,Somewhat introverted,Not a priority,Early adopter (love new tech),Somewhat loyal (prefer familiar but open),8,Definitely will visit,Once a week,Definitely yes,Near universities/schools|Residential communities,No major concerns,N/A,N/A
56,35-44,Male,South Asian,Abu Dhabi,Full-time employed,"Above 75,000",High School or below,"Married/Partner, with children (under 12)",4-6 times per week,106,1-2 hours,Free WiFi|Work/study in a different environment,Evening (6-9 PM),Mostly with company,Daily reader (read every day),26,"Audiobooks|E-books (Kindle, tablets)",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Biography/Memoir|Poetry|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Purchase from bookstores",336,"Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)",Hot chocolate|Hot coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Greenery/plants|Minimalist decor|Quiet/Silent zones","Breakfast items|Desserts (cakes, brownies)|Light snacks (cookies, biscuits)","Yes, outside UAE",Ability to purchase books|Access to large book collection|Book clubs/reading groups|Instagram-worthy aesthetics|Multilingual book collection|Quality coffee and food|Quiet environment for reading,Combination of above options,4,5,4,3,3,1,4,3,80,187,"Yes, depending on price",413,Above 50 AED,1,1,2,1,4,Dining out/cafe hopping|Learning new skills/courses|Watching movies/series,Balanced (ambivert),Not a priority,Mainstream (adopt when widely accepted),Somewhat loyal (prefer familiar but open),7,Probably will visit,2-3 times per month,Definitely yes,Tourist areas,Distance/location inconvenience,N/A,N/A
57,25-34,Male,Western Expat,Sharjah,Unemployed,"5,000 - 10,000",Bachelor's Degree,"Single, living with roommates",Once a week,18,1-2 hours,Location convenience,Afternoon (3-6 PM)|Mid-morning (9 AM-12 PM),Mostly alone,Rare reader (few times a year),1,"E-books (Kindle, tablets)|Physical books (paperback/hardcover)",Non-Fiction - History/Politics,Public libraries,8,"Cold Brew/Iced Coffee|Espresso-based (Cappuccino, Latte, Americano)|Hot Chocolate|Non-caffeinated beverages only",Hot coffee,"Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Greenery/plants|Individual reading nooks/pods|Modern/contemporary decor|Soft background music","Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Salads|Traditional Arabic sweets","Yes, outside UAE",Ability to borrow books|Ability to purchase books|Access to large book collection|Community of like-minded people|Kids' reading corner,Digital library access + physical cafe,2,1,1,3,1,1,1,2,17,23,"Yes, definitely",139,0 (Not interested),5,2,5,3,4,Learning new skills/courses|Shopping|Socializing with friends/family,Somewhat extroverted,Important (consider when possible),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),2,Might visit,2-3 times per month,Maybe,Beach/waterfront locations,Limited book selection|May be too crowded/noisy|Not enough time to utilize|Price might be too high,N/A,N/A
58,35-44,Female,South Asian,Dubai,Full-time employed,"35,001 - 50,000",Bachelor's Degree,"Married/Partner, with children (under 12)",Once a week,39,30 minutes - 1 hour,"Relaxation and ""me-time""|Work/study in a different environment",Lunch time (12-3 PM),Mostly with company,Daily reader (read every day),40,Newspapers,Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - History/Politics|Non-Fiction - Science/Technology|Poetry,"E-book subscriptions (Kindle Unlimited, etc.)",204,"Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Hot Chocolate|Tea (Black, Green, Herbal)","Cold beverages (juice, smoothies)|Hot coffee","Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Natural lighting|Quiet/Silent zones|Soft background music|Vintage/classic decor","Breakfast items|Light snacks (cookies, biscuits)|No food, just beverages|Vegan/Healthy options","Yes, in UAE",Book clubs/reading groups|Instagram-worthy aesthetics|Multilingual book collection|Work/study-friendly environment,Combination of above options,4,5,4,3,4,2,4,4,37,58,Maybe,156,10-20 AED,5,5,2,4,4,Reading books|Watching movies/series|Working on personal projects,Balanced (ambivert),Very important (influences all decisions),Mainstream (adopt when widely accepted),Neutral (try based on mood),10,Might visit,Once a month,Maybe,Mixed-use developments|Shopping malls,Already have similar options|Coffee quality concerns|Price might be too high,N/A,N/A
59,25-34,Male,Arab Expat,Ajman,Self-employed/Business owner,"10,001 - 20,000",Master's Degree,Extended family household,Once a week,30,Less than 30 minutes (quick coffee),Coffee/beverages quality,Afternoon (3-6 PM)|Lunch time (12-3 PM)|Night (9 PM onwards),Both equally,Occasional reader (1-2 times per week),19,"Audiobooks|E-books (Kindle, tablets)|Physical books (paperback/hardcover)",Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir,Borrow from friends/family,110,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Non-caffeinated beverages only|Tea (Black, Green, Herbal)",Hot coffee,Dim/cozy lighting|Fireplace or warm elements|Greenery/plants|Individual reading nooks/pods|Minimalist decor|Modern/contemporary decor,"International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)","No, and not interested","Ability to borrow books|Access to large book collection|Cozy, comfortable ambiance|Quiet environment for reading|Work/study-friendly environment",Membership for book borrowing (take home),4,3,2,3,2,4,3,2,27,51,Maybe,153,10-20 AED,4,3,1,5,1,Dining out/cafe hopping|Shopping|Traveling,Balanced (ambivert),Somewhat important,Early adopter (love new tech),Neutral (try based on mood),9,Definitely will visit,Multiple times per week,Probably yes,Residential communities|Tourist areas,Already have similar options|May be too crowded/noisy,N/A,N/A
60,25-34,Male,South Asian,Ajman,Self-employed/Business owner,"20,001 - 35,000",Master's Degree,"Single, living with roommates",2-3 times per week,37,Less than 30 minutes (quick coffee),Social meetings with friends/colleagues|Work/study in a different environment,Mid-morning (9 AM-12 PM),Both equally,Regular reader (3-5 times per week),21,Newspapers|Physical books (paperback/hardcover),Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy|Non-Fiction - Business/Self-Help|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Online purchase (Amazon, Noon, etc.)|Public libraries",53,"Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Hot Chocolate|Non-caffeinated beverages only","Cold beverages (juice, smoothies)|Hot coffee",Greenery/plants|Modern/contemporary decor|Natural lighting|Outdoor seating option,Breakfast items|Salads,"No, but interested",Ability to borrow books|Ability to purchase books|Book exchange program|Multilingual book collection,Combination of above options,2,4,2,5,4,4,3,4,33,80,Maybe,293,21-35 AED,2,3,3,4,1,Outdoor activities/sports|Social media browsing|Traveling,Balanced (ambivert),Not important,Mainstream (adopt when widely accepted),Variety seeker (always try new places),10,Might visit,Once a week,Maybe,Beach/waterfront locations|Shopping malls,May be too crowded/noisy|Prefer buying books separately,N/A,N/A
61,55+,Female,GCC National,Sharjah,Full-time employed,"10,001 - 20,000",Master's Degree,"Single, living alone",2-3 times per month,22,2-3 hours,Business meetings,Night (9 PM onwards),Mostly with company,Regular reader (3-5 times per week),25,Audiobooks|Online articles/blogs|Physical books (paperback/hardcover),Non-Fiction - Biography/Memoir|Non-Fiction - Science/Technology,"Free online resources|Online purchase (Amazon, Noon, etc.)|Purchase from bookstores",149,Arabic/Turkish Coffee|Cold Brew/Iced Coffee|Fresh Juices/Smoothies,Hot chocolate,Individual reading nooks/pods|Minimalist decor|Modern/contemporary decor|Natural lighting|Soft background music,"International cuisine options|No food, just beverages|Traditional Arabic sweets","No, and not interested","Cozy, comfortable ambiance|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment",Free browsing/reading in-cafe only,4,2,3,3,3,2,2,4,22,48,Probably not,0,21-35 AED,4,5,4,2,3,Outdoor activities/sports|Reading books|Shopping,Very extroverted (thrive in social settings),Important (consider when possible),Mainstream (adopt when widely accepted),Neutral (try based on mood),9,Probably will visit,2-3 times per month,Probably not,Mixed-use developments,Distance/location inconvenience,N/A,N/A
62,35-44,Male,UAE National,Abu Dhabi,Unemployed,"Less than 5,000",Doctorate/PhD,"Single, living with roommates",Once a month,14,30 minutes - 1 hour,Coffee/beverages quality,Early morning (6-9 AM)|Evening (6-9 PM)|Mid-morning (9 AM-12 PM),Both equally,Monthly reader (few times a month),4,Magazines,Children's/Young Adult|Comics/Graphic Novels|Fiction - Science Fiction/Fantasy|Non-Fiction - Biography/Memoir|Poetry,"Online purchase (Amazon, Noon, etc.)|Public libraries",38,"Cold Brew/Iced Coffee|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)|Tea (Black, Green, Herbal)",Water only,Individual reading nooks/pods|Outdoor seating option|Vintage/classic decor,Salads|Sandwiches/Wraps,"Yes, outside UAE",Access to large book collection|Kids' reading corner|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment,Digital library access + physical cafe,2,3,2,2,2,3,4,3,15,20,Definitely not,0,0 (Not interested),1,5,3,2,5,Reading books|Social media browsing|Watching movies/series,Balanced (ambivert),Not important,Fast follower (adopt after some research),Variety seeker (always try new places),4,Definitely will visit,2-3 times per month,Probably yes,Residential communities|Tourist areas,May be too crowded/noisy,N/A,N/A
63,35-44,Prefer not to say,UAE National,Dubai,Full-time employed,"5,000 - 10,000",Master's Degree,Extended family household,Once a month,20,30 minutes - 1 hour,Work/study in a different environment,Early morning (6-9 AM)|Mid-morning (9 AM-12 PM),Both equally,Monthly reader (few times a month),5,Newspapers|Online articles/blogs|Physical books (paperback/hardcover),Children's/Young Adult|Fiction - Contemporary/Romance,"E-book subscriptions (Kindle Unlimited, etc.)|Free online resources|Purchase from bookstores",26,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Tea (Black, Green, Herbal)",Tea,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Fireplace or warm elements|Minimalist decor|Modern/contemporary decor|Natural lighting","No food, just beverages|Traditional Arabic sweets|Vegan/Healthy options","No, but interested",Ability to purchase books|Book clubs/reading groups|Book exchange program,Combination of above options,3,2,4,3,3,3,3,2,18,32,Definitely not,0,0 (Not interested),3,5,3,2,5,Gaming|Learning new skills/courses|Outdoor activities/sports,Balanced (ambivert),Not a priority,Mainstream (adopt when widely accepted),Neutral (try based on mood),7,Might visit,Once a month,Probably yes,Near universities/schools,May be too crowded/noisy,N/A,N/A
64,35-44,Male,East Asian,Abu Dhabi,Full-time employed,"50,001 - 75,000",Bachelor's Degree,Extended family household,2-3 times per week,62,Less than 30 minutes (quick coffee),Ambiance and interior design|Coffee/beverages quality,Early morning (6-9 AM),Mostly with company,Regular reader (3-5 times per week),34,"Audiobooks|E-books (Kindle, tablets)|Magazines",Children's/Young Adult|Comics/Graphic Novels|Non-Fiction - Business/Self-Help|Poetry,"Free online resources|Online purchase (Amazon, Noon, etc.)",247,"Cold Brew/Iced Coffee|Filter/Drip Coffee|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate,Dim/cozy lighting|Fireplace or warm elements|Greenery/plants|Modern/contemporary decor,"Breakfast items|No food, just beverages|Sandwiches/Wraps","Yes, in UAE","Ability to borrow books|Book exchange program|Cozy, comfortable ambiance|Quality coffee and food|Work/study-friendly environment",Membership for book borrowing (take home),2,2,5,2,5,4,3,4,54,165,"Yes, depending on price",354,10-20 AED,2,4,4,1,3,Arts & crafts|Reading books|Traveling,Very extroverted (thrive in social settings),Not important,Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),10,Probably will visit,Once a week,Maybe,Business districts,Coffee quality concerns|Distance/location inconvenience,N/A,N/A
65,45-54,Female,Arab Expat,Dubai,Homemaker,"35,001 - 50,000",Master's Degree,"Married/Partner, no children",2-3 times per week,45,2-3 hours,"Food quality|Relaxation and ""me-time""",Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Mostly alone,Daily reader (read every day),58,Newspapers|Online articles/blogs|Physical books (paperback/hardcover),Non-Fiction - Science/Technology|Religious/Spiritual,Borrow from friends/family,115,"Cold Brew/Iced Coffee|Specialty Coffee (Flat White, Cortado, Macchiato)",Water only,Fireplace or warm elements|Modern/contemporary decor|Natural lighting|Outdoor seating option|Soft background music|Vintage/classic decor,Salads|Sandwiches/Wraps|Traditional Arabic sweets,"No, but interested","Ability to borrow books|Ability to purchase books|Community of like-minded people|Cozy, comfortable ambiance|Kids' reading corner|Quiet environment for reading","Book exchange (bring one, take one)",3,5,4,5,2,3,4,5,43,74,"Yes, depending on price",301,10-20 AED,4,4,5,4,4,Social media browsing|Socializing with friends/family,Somewhat introverted,Important (consider when possible),Fast follower (adopt after some research),Variety seeker (always try new places),9,Definitely will visit,Multiple times per week,Definitely yes,Beach/waterfront locations|Mixed-use developments,No major concerns,N/A,N/A
66,45-54,Female,Western Expat,Dubai,Full-time employed,"10,001 - 20,000",Bachelor's Degree,"Married/Partner, with children (teenagers/adults)",Once a month,27,30 minutes - 1 hour,Business meetings,Lunch time (12-3 PM),Mostly alone,Regular reader (3-5 times per week),15,"E-books (Kindle, tablets)|Newspapers",Comics/Graphic Novels|Fiction - Mystery/Thriller|Non-Fiction - Business/Self-Help,"Online purchase (Amazon, Noon, etc.)",112,"Cold Brew/Iced Coffee|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Water only,Minimalist decor|Quiet/Silent zones|Soft background music,"No food, just beverages|Traditional Arabic sweets","No, but interested","Book clubs/reading groups|Book exchange program|Cozy, comfortable ambiance|Quality coffee and food|Quiet environment for reading|Work/study-friendly environment",Membership for book borrowing (take home),4,3,4,4,4,4,4,2,26,52,Maybe,107,10-20 AED,4,2,3,1,5,Gaming|Reading books|Socializing with friends/family,Balanced (ambivert),Very important (influences all decisions),Mainstream (adopt when widely accepted),Variety seeker (always try new places),10,Definitely will visit,Once a month,Definitely yes,Shopping malls,No major concerns|Not enough time to utilize,N/A,N/A
67,25-34,Female,South Asian,Dubai,Unemployed,"5,000 - 10,000",Bachelor's Degree,"Married/Partner, no children",4-6 times per week,15,30 minutes - 1 hour,"Relaxation and ""me-time""|Work/study in a different environment",Afternoon (3-6 PM)|Early morning (6-9 AM)|Evening (6-9 PM),Both equally,Occasional reader (1-2 times per week),19,Audiobooks|Magazines|Newspapers,Comics/Graphic Novels|Non-Fiction - Science/Technology|Other,"E-book subscriptions (Kindle Unlimited, etc.)",26,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Hot chocolate|Iced coffee,Bookshelves surrounding|Dim/cozy lighting|Individual reading nooks/pods|Minimalist decor|Outdoor seating option|Quiet/Silent zones,"International cuisine options|No food, just beverages|Sandwiches/Wraps","Yes, outside UAE",Ability to borrow books|Author events/book signings,Combination of above options,2,2,3,3,4,3,4,2,15,24,Definitely not,0,10-20 AED,5,4,2,4,4,Arts & crafts|Gaming|Shopping,Balanced (ambivert),Important (consider when possible),Mainstream (adopt when widely accepted),Opportunistic (based on deals/convenience),8,Probably won't visit,Once a month,Definitely not,Mixed-use developments|Street retail/standalone,Distance/location inconvenience|Not enough time to utilize,N/A,N/A
68,18-24,Male,GCC National,Dubai,Student,"5,000 - 10,000",Bachelor's Degree,"Single, living with roommates",Rarely/Never,21,1-2 hours,Location convenience|Social meetings with friends/colleagues,Lunch time (12-3 PM),Mostly with company,Occasional reader (1-2 times per week),15,"E-books (Kindle, tablets)|Physical books (paperback/hardcover)",Non-Fiction - Business/Self-Help|Poetry|Religious/Spiritual,"E-book subscriptions (Kindle Unlimited, etc.)|Public libraries",47,"Espresso-based (Cappuccino, Latte, Americano)|Filter/Drip Coffee|Fresh Juices/Smoothies|Hot Chocolate","Cold beverages (juice, smoothies)",Greenery/plants|Modern/contemporary decor|Soft background music,"International cuisine options|Light snacks (cookies, biscuits)|Pastries (croissants, muffins)","No, but interested",Author events/book signings|Book exchange program|Community of like-minded people,Membership for book borrowing (take home),2,1,4,2,4,2,1,3,20,36,Definitely not,0,0 (Not interested),3,5,1,3,4,Learning new skills/courses|Outdoor activities/sports|Socializing with friends/family,Very introverted (prefer solitude),Somewhat important,Early adopter (love new tech),Somewhat loyal (prefer familiar but open),9,Might visit,Once a month,Maybe,Beach/waterfront locations,Coffee quality concerns|Limited book selection|Price might be too high,N/A,N/A
69,25-34,Female,Arab Expat,Dubai,Full-time employed,Prefer not to say,Other,"Married/Partner, with children (under 12)",2-3 times per month,35,2-3 hours,Business meetings,Early morning (6-9 AM)|Lunch time (12-3 PM)|Mid-morning (9 AM-12 PM),Mostly with company,Daily reader (read every day),55,Physical books (paperback/hardcover),Comics/Graphic Novels|Fiction - Contemporary/Romance|Fiction - Mystery/Thriller|Fiction - Science Fiction/Fantasy,"Borrow from friends/family|Online purchase (Amazon, Noon, etc.)",394,"Filter/Drip Coffee|Hot Chocolate|Tea (Black, Green, Herbal)",Iced coffee,"Comfortable seating (sofas, armchairs)|Greenery/plants|Quiet/Silent zones","Pastries (croissants, muffins)|Traditional Arabic sweets","No, but interested",Access to large book collection|Book exchange program|Instagram-worthy aesthetics|Multilingual book collection,Combination of above options,4,4,5,2,4,4,3,2,31,74,Probably not,0,10-20 AED,5,2,3,5,5,Outdoor activities/sports|Social media browsing|Socializing with friends/family,Balanced (ambivert),Somewhat important,Technology resistant,Opportunistic (based on deals/convenience),9,Definitely will visit,Multiple times per week,Maybe,Mixed-use developments|Residential communities,No major concerns,N/A,N/A
70,25-34,Male,South Asian,Dubai,Self-employed/Business owner,"35,001 - 50,000",Bachelor's Degree,"Single, living with roommates",4-6 times per week,60,30 minutes - 1 hour,Coffee/beverages quality,Afternoon (3-6 PM)|Mid-morning (9 AM-12 PM),Mostly alone,Non-reader,0,I don't read books,,I don't acquire books,0,Cold Brew/Iced Coffee|Hot Chocolate,Hot coffee,Individual reading nooks/pods|Natural lighting|Soft background music|Vintage/classic decor,"International cuisine options|Light snacks (cookies, biscuits)|Salads","Yes, in UAE",Multilingual book collection,Membership for book borrowing (take home),2,1,1,1,1,1,3,1,55,130,Maybe,194,0 (Not interested),3,5,3,3,2,Learning new skills/courses|Reading books|Socializing with friends/family,Somewhat introverted,Important (consider when possible),Mainstream (adopt when widely accepted),Very loyal (stick to favorites),5,Might visit,Rarely/never,Maybe,Business districts|Residential communities,Distance/location inconvenience|Limited book selection|Price might be too high,N/A,N/A
71,25-34,Male,South Asian,Sharjah,Full-time employed,"35,001 - 50,000",Diploma/Vocational Training,"Married/Partner, no children",2-3 times per month,40,30 minutes - 1 hour,"Relaxation and ""me-time""|Social meetings with friends/colleagues",Mid-morning (9 AM-12 PM),Mostly alone,Non-reader,0,I don't read books,None,I don't acquire books,0,"Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Non-caffeinated beverages only|Specialty Coffee (Flat White, Cortado, Macchiato)",Hot chocolate,Fireplace or warm elements|Individual reading nooks/pods|Natural lighting|Outdoor seating option|Vintage/classic decor,"Breakfast items|International cuisine options|No food, just beverages|Salads","Yes, in UAE",Kids' reading corner,Purchase books (bookstore + cafe),1,2,2,3,2,1,2,3,40,92,Definitely not,0,36-50 AED,3,3,3,5,2,Arts & crafts|Learning new skills/courses|Traveling,Very introverted (prefer solitude),Not important,Technology resistant,Variety seeker (always try new places),6,Definitely will visit,2-3 times per month,Probably yes,Mixed-use developments,Coffee quality concerns|No major concerns,N/A,N/A
72,55+,Female,South Asian,Fujairah,Self-employed/Business owner,"50,001 - 75,000",Bachelor's Degree,"Married/Partner, with children (teenagers/adults)",2-3 times per week,60,30 minutes - 1 hour,Coffee/beverages quality,Afternoon (3-6 PM)|Early morning (6-9 AM)|Weekends only,Mostly with company,Occasional reader (1-2 times per week),13,Newspapers,Fiction - Contemporary/Romance|Non-Fiction - Science/Technology|Poetry,Free online resources,68,"Arabic/Turkish Coffee|Fresh Juices/Smoothies|Hot Chocolate|Specialty Coffee (Flat White, Cortado, Macchiato)","Cold beverages (juice, smoothies)|Tea",Greenery/plants|Natural lighting|Soft background music,"Breakfast items|Desserts (cakes, brownies)|Light snacks (cookies, biscuits)|Traditional Arabic sweets","No, but interested","Community of like-minded people|Cozy, comfortable ambiance|Kids' reading corner",Membership for book borrowing (take home),2,4,3,2,2,3,4,1,61,183,Maybe,290,36-50 AED,3,4,3,1,2,Gaming|Learning new skills/courses|Reading books,Somewhat extroverted,Not a priority,Technology resistant,Variety seeker (always try new places),10,Definitely will visit,Multiple times per week,Definitely yes,Business districts,Coffee quality concerns,N/A,N/A
73,45-54,Prefer not to say,GCC National,Dubai,Self-employed/Business owner,"50,001 - 75,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",2-3 times per week,76,Less than 30 minutes (quick coffee),Ambiance and interior design,Mid-morning (9 AM-12 PM)|Weekends only,Both equally,Monthly reader (few times a month),9,Magazines|Online articles/blogs|Physical books (paperback/hardcover),Children's/Young Adult|Other,Free online resources,76,Cold Brew/Iced Coffee|Fresh Juices/Smoothies,Hot coffee,"Bookshelves surrounding|Comfortable seating (sofas, armchairs)|Greenery/plants|Natural lighting","Desserts (cakes, brownies)|No food, just beverages|Sandwiches/Wraps|Traditional Arabic sweets","No, but interested",Book exchange program|Instagram-worthy aesthetics|Multilingual book collection,Free browsing/reading in-cafe only,4,3,1,3,2,5,1,2,68,161,Maybe,342,36-50 AED,2,5,3,3,2,Learning new skills/courses|Social media browsing|Traveling,Somewhat extroverted,Somewhat important,Fast follower (adopt after some research),Somewhat loyal (prefer familiar but open),8,Definitely will visit,Once a week,Definitely yes,Mixed-use developments|Shopping malls,Already have similar options|Coffee quality concerns,N/A,N/A
74,25-34,Male,South Asian,Sharjah,Part-time employed,"10,001 - 20,000",Diploma/Vocational Training,"Married/Partner, with children (teenagers/adults)",2-3 times per month,34,2-3 hours,"Location convenience|Relaxation and ""me-time""",Weekends only,Mostly with company,Monthly reader (few times a month),5,Magazines,Fiction - Contemporary/Romance|Non-Fiction - Science/Technology,"Online purchase (Amazon, Noon, etc.)",31,"Espresso-based (Cappuccino, Latte, Americano)|Flavored Coffee (Vanilla, Caramel, Hazelnut)|Fresh Juices/Smoothies|Tea (Black, Green, Herbal)",Hot coffee|Tea,Dim/cozy lighting|Greenery/plants|Minimalist decor|Natural lighting,Traditional Arabic sweets|Vegan/Healthy options,"No, but interested",Ability to purchase books|Book exchange program,Combination of above options,2,3,4,4,3,2,4,3,32,75,Probably not,0,0 (Not interested),1,3,5,2,4,Arts & crafts|Gaming|Shopping,Somewhat introverted,Very important (influences all decisions),Early adopter (love new tech),Somewhat loyal (prefer familiar but open),4,Probably won't visit,Rarely/never,Definitely not,Beach/waterfront locations|Street retail/standalone,Coffee quality concerns|Limited book selection,N/A,N/A
